firstname,lastname,club,position,basesalary,guaranteedcomp
Lawrence,Ennali,HOU,F,"$500,000.00","$574,250.00"
Logan,Erb,HOU,GK,"$88,025.00","$93,373.00"
Lucas,Halter,HOU,D,"$1,265,004.00","$1,416,921.00"
Mateusz,Bogusz,HOU,M,"$2,349,996.00","$2,521,048.00"
Matthew,Arana,HOU,M,"$88,025.00","$101,986.00"
Nick,Markanich,HOU,F,"$184,962.00","$202,778.00"
Ondrej,Lingr,HOU,M,"$849,996.00","$938,074.00"
Reese,Miller,HOU,D,"$88,025.00","$92,668.00"
Sam,Vines,HOU,D,"$900,000.00","$912,500.00"
Sebastián,Rodríguez,HOU,M,"$88,025.00","$96,675.00"
Toyosi,Olusanya,HOU,F,"$418,000.00","$463,219.00"
Alexander,Shaw,MIA,M,"$88,025.00","$88,025.00"
Dániel,Pintér,MIA,F,"$88,025.00","$88,025.00"
David,Ruíz,MIA,M,"$200,000.00","$231,887.00"
David,Ayala,MIA,M,"$650,000.00","$771,000.00"
Dayne,St. Clair,MIA,GK,"$745,313.00","$808,730.00"
Ezequiel,Abadia-Reda,MIA,D,"$88,025.00","$88,025.00"
Facundo,Mura,MIA,D,"$850,000.00","$1,026,875.00"
Germán,Berterame,MIA,F,"$2,800,000.00","$3,824,200.00"
Gonzalo,Luján,MIA,D,"$630,000.00","$921,750.00"
Ian,Fray,MIA,D,"$375,000.00","$429,000.00"
Israel,Boatwright,MIA,D,"$113,400.00","$115,400.00"
Lionel,Messi,MIA,F,"$25,000,000.00","$28,333,333.00"
Luis,Barraza,MIA,GK,"$113,400.00","$120,900.00"
Luis,Suárez,MIA,F,"$803,125.00","$803,125.00"
Mateo,Silvetti,MIA,F,"$550,000.00","$607,078.00"
Maximiliano,Falcón,MIA,D,"$600,000.00","$674,250.00"
Micael,dos Santos Silva,MIA,D,"$750,000.00","$892,440.00"
Noah,Allen,MIA,D,"$375,000.00","$434,653.00"
Rocco,Ríos Novo,MIA,GK,"$200,000.00","$224,100.00"
Rodrigo,De Paul,MIA,M,"$7,569,000.00","$9,688,320.00"
Santiago,Morales,MIA,M,"$130,000.00","$138,333.00"
Sergio,Reguilón,MIA,D,"$1,700,000.00","$1,800,000.00"
