playerid,firstname,lastname
bJV2Ff,Barraza,Luis
bjXK36,Iraheta,Marvin
bJyLGh,Jahn,Adam
Bk2CoZ,Prim,Santiago
BK2oIy,Campos,Diego
bkb1KS,Veron,Gonzalo
bkh8cl,Besagno,Nikolas
BKKgw1,Romero,Abraham
Blf7Fc,Desler,Mikkel
BlhAMc,Murillo,Jesus
bLmPwM,Hildebrandt,Mitch
BlWTft,Larsen,Emil
BlxMEg,Clark,Colin
BMd3BX,Toklomati,Idan
bMixTQ,Emory,Logan
BMnFEr,Facchineri,Gianfranco
BmPOh7,Jarju,Mustapha
bmvDGF,Ward,Grant
BMZ91F,Agbossoumonde,Gale
bNohH5,Manning,Anthony
bnx9qp,Habibullah,Kamron
bOhrCB,Sanneh,Tony
BOLhNz,Oregel,Sergio
BOODsn,Schlegel,Rodrigo
bOxAWJ,Hemming,Tyler
boxibc,Halliday,Michael
bP1twF,Anderson,Owen
bp8s4U,Hagen,Nicholas
BPbL12,Sabovic,Besard
BpcIa0,Oblitey Otoo,Jeffrey
bpTIMC,Sanchez,Vicente
Bpyr6V,Kemp,Taylor
Bq4inH,Silva,Xande
BqR8ej,Gaines,Julian
bQZL8X,Sarkodie,Kofi
BRfXjk,Edwards,Tom
bSacoi,Hall,Tyler
bSDoWT,Davis,Jake
BTh8Qx,Ledesma,Emmanuel
btKl5g,Adams,Tyler
BTmKx4,Pepi,Diego
btTzZf,Alamo,Charles
bty2Tv,Fernandez,Nick
