RecordID,PlayerID,Club,Position,BaseSalary,GuaranteedComp,Year
Qavls89F,u7QOIk,NE,M,"500000.00","557500.00",2021
UNOldw59,u7QOIk,NE,M,"525000.00","582500.00",2022
pn1FmEFp,TvsJgB,ORL,F,"1860000.00","1860000.00",2022
151Pnj7l,ZMYyf6,DC,F,"80622.00","80622.00",2025 Sp
Q40raUgZ,R16PKX,RBNY,M,"12900.0","12900.0",2007
tMZTYnCa,lksiXm,MLS,GK,"12900.0","12900.0",2008
w6Y7bXSl,K27jpC,SJ,D,"549999.96","549999.96",2018
OpJcfAHH,K27jpC,SJ,D,"590000.04","590000.04",2019
uiGx96jy,K27jpC,SJ,D,"640000.00","640000.00",2020
nsqTKidM,2bYaCi,CHI,F,"12900.0","12900.0",2008
NACyWkx1,l1Ztao,RBNY,M,"32600.0","36600.0",2011
DKuZiYhO,l1Ztao,PHI,M,"46500.0","46500.0",2013
06YwITGe,kvdeNO,CHI,M,"1200000.00","1320333.33",2018
y6FH0JAT,kvdeNO,CHI,M-F,"1260000.00","1380333.33",2019
IH437YCy,n9lxkJ,RSL,D,"400000.00","469875.00",2024
nhBEppI2,n9lxkJ,RSL,D,"425000.00","494875.00",2025 Sp
d7pbqTbi,v4HR5i,RSL,D,"50000.0","50000.0",2015
5HPIVplm,v4HR5i,RSL,D,"51500.0","51500.0",2016
enMWx5uJ,fMPF67,POR,M,"33750.0","33750.0",2012
Gs0snjyz,Ey3Obw,LAFC,M,"69999.96","74999.96",2018
rRVNjSA4,Ey3Obw,LAFC,M,"166248.00","177810.50",2019
VaXiBcQw,Ey3Obw,LAFC,M,"226875.00","238438.00",2020
lNo7Lly6,Ey3Obw,COL,M,"235625.00","247188.00",2021
vcR81mvE,Ey3Obw,TOR,M,"700000.00","700000.00",2022
P1yvULuP,Ey3Obw,NE,M,"750000.00","750000.00",2023
ovbaOuvj,Ey3Obw,NE,M,"750000.00","750000.00",2024
lgF7b0BD,Ey3Obw,SJ,M,"800000.00","800000.00",2025 Sp
kdyjf6TT,iQtoIi,LA,F,"2917241.4","3417243.15",2011
8VUg3OEa,iQtoIi,LA,F,"2917241.0","3417242.75",2012
DjqTZqRj,iQtoIi,LA,F,"4000000.0","4333333.33",2013
VM3TZpRZ,iQtoIi,LA,F,"4500000.0","4500000.0",2014
RCAewb8i,iQtoIi,LA,F,"4500000.0","4500000.0",2015
C121w3Tq,iQtoIi,LA,F,"3500000.0","3500000.0",2016
xcckenp8,sv6Y6U,LA,M,"42000.0","64500.0",2011
gyQBQ7No,sv6Y6U,LA,M,"46200.0","68700.0",2012
tTOyTtkR,dUxZ6M,COL,D,"17700.0","17700.0",2007
qZBZMIJo,dUxZ6M,COL,D,"17700.0","17700.0",2008
0Om8EFNP,dUxZ6M,RBNY,D,"42000.0","42000.0",2011
