FirstName,LastName,Club,Position,BaseSalary,GuaranteedComp
Exon,Arzú,Houston Dynamo,F,"104,000.00","108,598.00"
Femi,Awodesu,Houston Dynamo,D,"80,622.00","89,089.00"
Ethan,Bartlow,Houston Dynamo,D,"275,000.00","275,000.00"
Amine,Bassi,Houston Dynamo,M,"700,000.00","700,000.00"
Jonathan,Bond,Houston Dynamo,GK,"400,000.00","459,704.00"
Júnior,Urso,Houston Dynamo,M,"104,000.00","123,533.00"
José Artur,de Lima Júnior,Houston Dynamo,M,"810,000.00","893,375.00"
Griffin,Dorsey,Houston Dynamo,D,"540,000.00","594,667.00"
Érik,Dueñas,Houston Dynamo,M,"150,000.00","170,625.00"
Lawrence,Ennali,Houston Dynamo,F,"475,000.00","549,250.00"
Franco,Escobar,Houston Dynamo,D,"550,000.00","599,167.00"
Blake,Gillingham,Houston Dynamo,GK,"80,622.00","80,622.00"
Stephen Annor,Gyamfi,Houston Dynamo,F,"90,000.00","103,750.00"
Michael,Halliday,Houston Dynamo,D,"250,000.00","277,500.00"
Duane,Holmes,Houston Dynamo,M,"300,000.00","378,000.00"
Sebastian,Kowalczyk,Houston Dynamo,M,"525,000.00","594,618.00"
Ondrej,Lingr,Houston Dynamo,M,"800,004.00","844,043.00"
Nicolás,Lodeiro,Houston Dynamo,M,"200,000.00","200,000.00"
Jimmy,Maurer,Houston Dynamo,GK,"200,000.00","200,000.00"
Jack,McGlynn,Houston Dynamo,M,"265,000.00","292,033.00"
Pablo,Ortiz,Houston Dynamo,D,"400,000.00","443,400.00"
Ezequiel,Ponce,Houston Dynamo,F,"2,590,000.00","2,852,200.00"
Nelson,Quiñónes,Houston Dynamo,F,"252,000.00","272,894.00"
Brooklyn,Raines,Houston Dynamo,M,"125,000.00","143,063.00"
Sebastián,Rodríguez,Houston Dynamo,M,"80,622.00","89,272.00"
Kieran,Sargeant,Houston Dynamo,D,"104,000.00","106,193.00"
Gabriel,Segal,Houston Dynamo,F,"104,000.00","104,000.00"
Daniel,Steres,Houston Dynamo,D,"300,000.00","323,438.00"
Erik,Sviatchenko,Houston Dynamo,D,"750,000.00","825,000.00"
Andrew,Tarbell,Houston Dynamo,GK,"400,000.00","430,000.00"
